grupo,btsId,btsNetNome,lat,lon,cch,azimuth,RssiId
1,BTS_1_1,PEMDL01_1,-8.04342,-34.952,873,0,rssi_1_1
1,BTS_1_2,PEMDL01_2,-8.04342,-34.952,872,120,rssi_1_2
1,BTS_1_3,PEMDL01_3,-8.04342,-34.952,875,240,rssi_1_3
2,BTS_2_1,PEMDL08_1,-8.05289,-34.944672,865,0,rssi_2_1
2,BTS_2_2,PEMDL08_2,-8.05289,-34.944672,874,120,rssi_2_2
2,BTS_2_3,PEMDL08_3,-8.05289,-34.944672,871,240,rssi_2_3
3,BTS_3_1,PEMDL09_1,-8.05532,-34.9579,877,0,rssi_3_1
3,BTS_3_2,PEMDL09_2,-8.05532,-34.9579,881,120,rssi_3_2
3,BTS_3_3,PEMDL09_3,-8.05532,-34.9579,869,240,rssi_3_3
